file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,21112018,2309,1928.0,23.976023976023978,239,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x1153d0f30>
"
"
Crab_ID,Crab_Position,Crab_frame
Crab_ID,Crab_axis_1,Crab_axis_2
"GP010016_fast.mp4_crab_(282, 293)",33,25
"GP010016_fast.mp4_crab_(282, 293)",33,25
"GP010016_fast.mp4_crab_(282, 293)",33,23
"GP010016_fast.mp4_crab_(282, 293)",35,22
"GP010016_fast.mp4_crab_(282, 293)",37,23
"GP010016_fast.mp4_crab_(282, 293)",34,26
"GP010016_fast.mp4_crab_(282, 293)",25,12
"GP010016_fast.mp4_crab_(282, 293)",33,23
"GP010016_fast.mp4_crab_(282, 293)",18,18
"GP010016_fast.mp4_crab_(282, 293)",35,26
"GP010016_fast.mp4_crab_(282, 293)",34,23
"GP010016_fast.mp4_crab_(282, 293)",33,24
"GP010016_fast.mp4_crab_(282, 293)",33,23
"GP010016_fast.mp4_crab_(282, 293)",33,24
"GP010016_fast.mp4_crab_(282, 293)",33,25
"GP010016_fast.mp4_crab_(282, 293)",27,15
"GP010016_fast.mp4_crab_(282, 293)",4,5
"GP010016_fast.mp4_crab_(282, 293)",27,14
"GP010016_fast.mp4_crab_(282, 293)",23,6
"GP010016_fast.mp4_crab_(282, 293)",32,24
"GP010016_fast.mp4_crab_(282, 293)",32,17
"GP010016_fast.mp4_crab_(282, 293)",32,24
"GP010016_fast.mp4_crab_(282, 293)",30,24
"GP010016_fast.mp4_crab_(282, 293)",29,24
"GP010016_fast.mp4_crab_(282, 293)",31,18
"GP010016_fast.mp4_crab_(282, 293)",32,21
"GP010016_fast.mp4_crab_(282, 293)",15,11
"GP010016_fast.mp4_crab_(282, 293)",14,13
"GP010016_fast.mp4_crab_(282, 293)",30,23
"GP010016_fast.mp4_crab_(282, 293)",32,25
"GP010016_fast.mp4_crab_(282, 293)",32,16
"GP010016_fast.mp4_crab_(282, 293)",31,23
"GP010016_fast.mp4_crab_(282, 293)",18,15
"GP010016_fast.mp4_crab_(282, 293)",21,19
"GP010016_fast.mp4_crab_(282, 293)",29,18
"GP010016_fast.mp4_crab_(282, 293)",5,12
"GP010016_fast.mp4_crab_(282, 293)",19,21
"GP010016_fast.mp4_crab_(282, 293)",26,26
"GP010016_fast.mp4_crab_(282, 293)",26,21
"GP010016_fast.mp4_crab_(282, 293)",26,17
"GP010016_fast.mp4_crab_(282, 293)",21,17
"GP010016_fast.mp4_crab_(282, 293)",25,22
"GP010016_fast.mp4_crab_(282, 293)",12,9
"GP010016_fast.mp4_crab_(282, 293)",21,20
"GP010016_fast.mp4_crab_(282, 293)",21,20
"GP010016_fast.mp4_crab_(282, 293)",6,11
"GP010016_fast.mp4_crab_(282, 293)",23,17
"GP010016_fast.mp4_crab_(282, 293)",23,17
"GP010016_fast.mp4_crab_(282, 293)",6,4
"GP010016_fast.mp4_crab_(282, 293)",13,10
"GP010016_fast.mp4_crab_(282, 293)",27,23
"GP010016_fast.mp4_crab_(282, 293)",28,23
"GP010016_fast.mp4_crab_(282, 293)",29,23
"GP010016_fast.mp4_crab_(282, 293)",17,15
"GP010016_fast.mp4_crab_(282, 293)",29,18
"GP010016_fast.mp4_crab_(282, 293)",29,22
"GP010016_fast.mp4_crab_(282, 293)",9,15
"GP010016_fast.mp4_crab_(282, 293)",30,19
"GP010016_fast.mp4_crab_(282, 293)",30,16
"GP010016_fast.mp4_crab_(282, 293)",30,19
"GP010016_fast.mp4_crab_(282, 293)",28,17
"GP010016_fast.mp4_crab_(282, 293)",31,23
"GP010016_fast.mp4_crab_(282, 293)",24,21
"GP010016_fast.mp4_crab_(282, 293)",30,18
"GP010016_fast.mp4_crab_(282, 293)",30,16
"GP010016_fast.mp4_crab_(282, 293)",31,16
"GP010016_fast.mp4_crab_(282, 293)",30,23
"GP010016_fast.mp4_crab_(282, 293)",30,23
"GP010016_fast.mp4_crab_(282, 293)",30,25
"GP010016_fast.mp4_crab_(282, 293)",30,23
"GP010016_fast.mp4_crab_(282, 293)",30,17
"GP010016_fast.mp4_crab_(282, 293)",30,19
"GP010016_fast.mp4_crab_(282, 293)",30,24
"GP010016_fast.mp4_crab_(282, 293)",17,13
"GP010016_fast.mp4_crab_(282, 293)",30,23
"GP010016_fast.mp4_crab_(282, 293)",30,22
"GP010016_fast.mp4_crab_(282, 293)",30,23
"GP010016_fast.mp4_crab_(282, 293)",30,17
"GP010016_fast.mp4_crab_(282, 293)",30,17
"GP010016_fast.mp4_crab_(282, 293)",31,24
"GP010016_fast.mp4_crab_(282, 293)",31,17
"GP010016_fast.mp4_crab_(282, 293)",31,24
"GP010016_fast.mp4_crab_(282, 293)",31,24
"GP010016_fast.mp4_crab_(282, 293)",31,17
"GP010016_fast.mp4_crab_(282, 293)",31,17
"GP010016_fast.mp4_crab_(282, 293)",31,16
"GP010016_fast.mp4_crab_(282, 293)",31,23
"GP010016_fast.mp4_crab_(282, 293)",31,23
"GP010016_fast.mp4_crab_(282, 293)",32,20
"GP010016_fast.mp4_crab_(282, 293)",32,16
"GP010016_fast.mp4_crab_(282, 293)",32,16
"GP010016_fast.mp4_crab_(282, 293)",33,23
"GP010016_fast.mp4_crab_(282, 293)",33,16
"GP010016_fast.mp4_crab_(282, 293)",16,12
"GP010016_fast.mp4_crab_(282, 293)",5,7
"GP010016_fast.mp4_crab_(282, 293)",32,19
"GP010016_fast.mp4_crab_(282, 293)",11,9
"GP010016_fast.mp4_crab_(282, 293)",14,8
"GP010016_fast.mp4_crab_(282, 293)",14,20
"GP010016_fast.mp4_crab_(282, 293)",32,25
"GP010016_fast.mp4_crab_(282, 293)",19,15
"GP010016_fast.mp4_crab_(282, 293)",29,17
"GP010016_fast.mp4_crab_(282, 293)",27,14
"GP010016_fast.mp4_crab_(282, 293)",14,6
"GP010016_fast.mp4_crab_(282, 293)",14,6
"GP010016_fast.mp4_crab_(282, 293)",14,6
"GP010016_fast.mp4_crab_(282, 293)",14,6
"GP010016_fast.mp4_crab_(282, 293)",29,18
"GP010016_fast.mp4_crab_(282, 293)",19,7
"GP010016_fast.mp4_crab_(282, 293)",29,18
"GP010016_fast.mp4_crab_(282, 293)",29,17
"GP010016_fast.mp4_crab_(282, 293)",29,17
"GP010016_fast.mp4_crab_(282, 293)",29,17
"GP010016_fast.mp4_crab_(282, 293)",29,17
"GP010016_fast.mp4_crab_(282, 293)",26,17
"GP010016_fast.mp4_crab_(282, 293)",27,18
"GP010016_fast.mp4_crab_(282, 293)",27,8
"GP010016_fast.mp4_crab_(282, 293)",28,24
"GP010016_fast.mp4_crab_(282, 293)",28,24
"GP010016_fast.mp4_crab_(282, 293)",32,24
"GP010016_fast.mp4_crab_(282, 293)",28,23
"GP010016_fast.mp4_crab_(282, 293)",28,19
"GP010016_fast.mp4_crab_(282, 293)",28,18
