file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance
GP010016_fast.mp4,15112018,1349,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_(292, 205)","(263, 221)",267
"GP010016_fast.mp4_(292, 205)","(262, 221)",268
"GP010016_fast.mp4_(292, 205)","(263, 221)",269
"GP010016_fast.mp4_(292, 205)","(262, 221)",270
"GP010016_fast.mp4_(292, 205)","(262, 221)",271
"GP010016_fast.mp4_(292, 205)","(263, 221)",272
"GP010016_fast.mp4_(292, 205)","(263, 221)",273
"GP010016_fast.mp4_(292, 205)","(262, 221)",274
"GP010016_fast.mp4_(292, 205)","(262, 221)",275
"GP010016_fast.mp4_(292, 205)","(262, 221)",276
"GP010016_fast.mp4_(292, 205)","(262, 221)",277
"GP010016_fast.mp4_(292, 205)","(262, 221)",278
"GP010016_fast.mp4_(292, 205)","(262, 221)",279
"GP010016_fast.mp4_(292, 205)","(261, 221)",280
"GP010016_fast.mp4_(292, 205)","(261, 221)",281
"GP010016_fast.mp4_(292, 205)","(262, 221)",282
"GP010016_fast.mp4_(292, 205)","(261, 221)",283
"GP010016_fast.mp4_(292, 205)","(261, 221)",284
"GP010016_fast.mp4_(292, 205)","(261, 221)",285
"GP010016_fast.mp4_(292, 205)","(261, 221)",286
"GP010016_fast.mp4_(292, 205)","(261, 221)",287
"GP010016_fast.mp4_(292, 205)","(261, 221)",288
"GP010016_fast.mp4_(292, 205)","(261, 221)",289
"GP010016_fast.mp4_(292, 205)","(261, 221)",290
"GP010016_fast.mp4_(292, 205)","(260, 221)",291
"GP010016_fast.mp4_(292, 205)","(260, 221)",292
"GP010016_fast.mp4_(292, 205)","(260, 221)",293
"GP010016_fast.mp4_(292, 205)","(260, 220)",294
"GP010016_fast.mp4_(292, 205)","(260, 221)",295
"GP010016_fast.mp4_(292, 205)","(259, 221)",296
"GP010016_fast.mp4_(292, 205)","(259, 221)",297
"GP010016_fast.mp4_(292, 205)","(259, 221)",298
"GP010016_fast.mp4_(292, 205)","(259, 221)",299
"GP010016_fast.mp4_(292, 205)","(259, 221)",300
"GP010016_fast.mp4_(292, 205)","(259, 221)",301
"GP010016_fast.mp4_(292, 205)","(259, 221)",302
"GP010016_fast.mp4_(292, 205)","(259, 221)",303
"GP010016_fast.mp4_(292, 205)","(258, 221)",304
"GP010016_fast.mp4_(292, 205)","(258, 221)",305
"GP010016_fast.mp4_(292, 205)","(258, 221)",306
"GP010016_fast.mp4_(292, 205)","(257, 221)",307
"GP010016_fast.mp4_(292, 205)","(257, 221)",308
"GP010016_fast.mp4_(292, 205)","(257, 221)",309
"GP010016_fast.mp4_(292, 205)","(256, 221)",310
"GP010016_fast.mp4_(292, 205)","(256, 220)",311
"GP010016_fast.mp4_(292, 205)","(256, 221)",312
"GP010016_fast.mp4_(292, 205)","(255, 221)",313
"GP010016_fast.mp4_(292, 205)","(255, 221)",314
"GP010016_fast.mp4_(292, 205)","(255, 221)",315
"GP010016_fast.mp4_(292, 205)","(255, 221)",316
"GP010016_fast.mp4_(292, 205)","(255, 221)",317
"GP010016_fast.mp4_(292, 205)","(255, 221)",318
"GP010016_fast.mp4_(292, 205)","(254, 222)",319
"GP010016_fast.mp4_(292, 205)","(254, 222)",320
"GP010016_fast.mp4_(292, 205)","(254, 222)",321
"GP010016_fast.mp4_(292, 205)","(254, 222)",322
"GP010016_fast.mp4_(292, 205)","(254, 222)",323
"GP010016_fast.mp4_(292, 205)","(254, 222)",324
"GP010016_fast.mp4_(292, 205)","(254, 222)",325
"GP010016_fast.mp4_(292, 205)","(254, 222)",326
"GP010016_fast.mp4_(292, 205)","(254, 222)",327
"GP010016_fast.mp4_(292, 205)","(254, 222)",328
"GP010016_fast.mp4_(292, 205)","(254, 222)",329
"GP010016_fast.mp4_(292, 205)","(253, 223)",330
"GP010016_fast.mp4_(292, 205)","(253, 223)",331
"GP010016_fast.mp4_(292, 205)","(253, 223)",332
"GP010016_fast.mp4_(292, 205)","(253, 223)",333
"GP010016_fast.mp4_(292, 205)","(253, 223)",334
"GP010016_fast.mp4_(292, 205)","(253, 223)",335
"GP010016_fast.mp4_(292, 205)","(253, 223)",336
"GP010016_fast.mp4_(292, 205)","(253, 223)",337
"GP010016_fast.mp4_(292, 205)","(253, 223)",338
"GP010016_fast.mp4_(292, 205)","(253, 223)",339
"GP010016_fast.mp4_(292, 205)","(253, 223)",340
"GP010016_fast.mp4_(292, 205)","(253, 223)",341
"GP010016_fast.mp4_(292, 205)","(253, 223)",342
"GP010016_fast.mp4_(292, 205)","(253, 223)",343
"GP010016_fast.mp4_(292, 205)","(253, 223)",344
"GP010016_fast.mp4_(292, 205)","(253, 223)",345
"GP010016_fast.mp4_(292, 205)","(253, 223)",346
"GP010016_fast.mp4_(292, 205)","(253, 223)",347
"GP010016_fast.mp4_(292, 205)","(253, 223)",348
"GP010016_fast.mp4_(292, 205)","(253, 223)",349
"GP010016_fast.mp4_(292, 205)","(253, 223)",350
"GP010016_fast.mp4_(292, 205)","(253, 223)",351
"GP010016_fast.mp4_(292, 205)","(253, 223)",352
"GP010016_fast.mp4_(292, 205)","(253, 223)",353
"GP010016_fast.mp4_(292, 205)","(253, 223)",354
"GP010016_fast.mp4_(292, 205)","(253, 223)",355
"GP010016_fast.mp4_(292, 205)","(253, 223)",356
"GP010016_fast.mp4_(292, 205)","(253, 223)",357
"GP010016_fast.mp4_(292, 205)","(253, 223)",358
"GP010016_fast.mp4_(292, 205)","(253, 223)",359
"GP010016_fast.mp4_(292, 205)","(254, 222)",360
"GP010016_fast.mp4_(292, 205)","(253, 222)",361
"GP010016_fast.mp4_(292, 205)","(253, 222)",362
"GP010016_fast.mp4_(292, 205)","(253, 222)",363
"GP010016_fast.mp4_(292, 205)","(253, 222)",364
"GP010016_fast.mp4_(292, 205)","(253, 222)",365
"GP010016_fast.mp4_(292, 205)","(253, 222)",366
"GP010016_fast.mp4_(292, 205)","(253, 222)",367
"GP010016_fast.mp4_(292, 205)","(253, 222)",368
"GP010016_fast.mp4_(292, 205)","(253, 222)",369
"GP010016_fast.mp4_(292, 205)","(253, 222)",370
"GP010016_fast.mp4_(292, 205)","(253, 222)",371
"GP010016_fast.mp4_(292, 205)","(253, 222)",372
"GP010016_fast.mp4_(292, 205)","(253, 222)",373
"GP010016_fast.mp4_(292, 205)","(253, 222)",374
"GP010016_fast.mp4_(292, 205)","(253, 222)",375
"GP010016_fast.mp4_(292, 205)","(253, 223)",376
"GP010016_fast.mp4_(292, 205)","(253, 223)",377
"GP010016_fast.mp4_(292, 205)","(253, 223)",378
"GP010016_fast.mp4_(292, 205)","(253, 223)",379
"GP010016_fast.mp4_(292, 205)","(253, 223)",380
"GP010016_fast.mp4_(292, 205)","(253, 223)",381
"GP010016_fast.mp4_(292, 205)","(253, 223)",382
"GP010016_fast.mp4_(292, 205)","(253, 223)",383
"GP010016_fast.mp4_(292, 205)","(253, 223)",384
"GP010016_fast.mp4_(292, 205)","(252, 224)",385
"GP010016_fast.mp4_(292, 205)","(253, 224)",386
"GP010016_fast.mp4_(292, 205)","(253, 224)",387
"GP010016_fast.mp4_(292, 205)","(253, 224)",388
"GP010016_fast.mp4_(292, 205)","(253, 224)",389
"GP010016_fast.mp4_(292, 205)","(253, 224)",390
"GP010016_fast.mp4_(292, 205)","(253, 225)",391
"GP010016_fast.mp4_(292, 205)","(253, 225)",392
"GP010016_fast.mp4_(292, 205)","(253, 225)",393
"GP010016_fast.mp4_(292, 205)","(253, 225)",394
"GP010016_fast.mp4_(292, 205)","(253, 225)",395
"GP010016_fast.mp4_(292, 205)","(253, 225)",396
"GP010016_fast.mp4_(292, 205)","(253, 225)",397
"GP010016_fast.mp4_(292, 205)","(253, 225)",398
"GP010016_fast.mp4_(292, 205)","(253, 225)",399
"GP010016_fast.mp4_(292, 205)","(252, 225)",400
"GP010016_fast.mp4_(292, 205)","(252, 225)",401
"GP010016_fast.mp4_(292, 205)","(252, 225)",402
"GP010016_fast.mp4_(292, 205)","(252, 225)",403
"GP010016_fast.mp4_(292, 205)","(252, 225)",404
"GP010016_fast.mp4_(292, 205)","(252, 225)",405
"GP010016_fast.mp4_(292, 205)","(252, 225)",406
"GP010016_fast.mp4_(292, 205)","(252, 225)",407
"GP010016_fast.mp4_(292, 205)","(252, 225)",408
"GP010016_fast.mp4_(292, 205)","(252, 225)",409
"GP010016_fast.mp4_(292, 205)","(252, 225)",410
"GP010016_fast.mp4_(292, 205)","(252, 225)",411
"GP010016_fast.mp4_(292, 205)","(253, 225)",412
"GP010016_fast.mp4_(292, 205)","(253, 225)",413
"GP010016_fast.mp4_(292, 205)","(252, 225)",414
"GP010016_fast.mp4_(292, 205)","(252, 225)",415
"GP010016_fast.mp4_(292, 205)","(252, 226)",416
"GP010016_fast.mp4_(292, 205)","(252, 225)",417
"GP010016_fast.mp4_(292, 205)","(252, 225)",418
"GP010016_fast.mp4_(292, 205)","(252, 225)",419
"GP010016_fast.mp4_(292, 205)","(252, 225)",420
