file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,2338,1928,23.97602398,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.107758621,<TrackerMIL 0x10e996f30>
"
",,,,,,,,,,,,
Crab_ID,Crab_Position,Crab_frame,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(139, 287)",206,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(141, 282)",207,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(137, 279)",208,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(141, 280)",209,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(140, 282)",210,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(141, 282)",211,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(139, 281)",212,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(149, 275)",213,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(147, 275)",214,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(142, 279)",215,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(141, 281)",216,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(142, 280)",217,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(142, 278)",218,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(142, 279)",219,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(142, 279)",220,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(142, 279)",221,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(141, 282)",222,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(142, 279)",223,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(141, 278)",224,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(140, 280)",225,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(141, 282)",226,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(142, 279)",227,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(141, 281)",228,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(142, 279)",229,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(140, 280)",230,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(142, 279)",231,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(141, 281)",232,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(140, 276)",233,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(141, 281)",234,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(141, 283)",235,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(143, 281)",236,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(142, 282)",237,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(142, 282)",238,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(141, 280)",239,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(143, 280)",240,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(139, 281)",241,,,,,,,,,,
