file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,1809,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x1118fff30>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca_n00(382, 12)","(365, 29)",286
"GP010016_fast.mp4_uca_n00(382, 12)","(365, 29)",287
"GP010016_fast.mp4_uca_n00(382, 12)","(366, 29)",288
"GP010016_fast.mp4_uca_n00(382, 12)","(366, 29)",289
"GP010016_fast.mp4_uca_n00(382, 12)","(366, 29)",290
"GP010016_fast.mp4_uca_n00(382, 12)","(366, 29)",291
"GP010016_fast.mp4_uca_n00(382, 12)","(366, 28)",292
"GP010016_fast.mp4_uca_n00(382, 12)","(366, 28)",293
"GP010016_fast.mp4_uca_n00(382, 12)","(366, 28)",294
"GP010016_fast.mp4_uca_n00(382, 12)","(369, 29)",295
"GP010016_fast.mp4_uca_n00(382, 12)","(368, 29)",296
"GP010016_fast.mp4_uca_n00(382, 12)","(368, 28)",297
"GP010016_fast.mp4_uca_n00(382, 12)","(368, 28)",298
"GP010016_fast.mp4_uca_n00(382, 12)","(368, 28)",299
"GP010016_fast.mp4_uca_n00(382, 12)","(365, 27)",300
"GP010016_fast.mp4_uca_n00(382, 12)","(368, 26)",301
"GP010016_fast.mp4_uca_n00(382, 12)","(369, 29)",302
"GP010016_fast.mp4_uca_n00(382, 12)","(370, 29)",303
"GP010016_fast.mp4_uca_n00(382, 12)","(369, 29)",304
"GP010016_fast.mp4_uca_n00(382, 12)","(368, 27)",305
"GP010016_fast.mp4_uca_n00(382, 12)","(370, 29)",306
"GP010016_fast.mp4_uca_n00(382, 12)","(371, 29)",307
"GP010016_fast.mp4_uca_n00(382, 12)","(370, 28)",308
"GP010016_fast.mp4_uca_n00(382, 12)","(370, 29)",309
"GP010016_fast.mp4_uca_n00(382, 12)","(369, 27)",310
"GP010016_fast.mp4_uca_n00(382, 12)","(369, 27)",311
"GP010016_fast.mp4_uca_n00(382, 12)","(371, 29)",312
"GP010016_fast.mp4_uca_n00(382, 12)","(370, 29)",313
"GP010016_fast.mp4_uca_n00(382, 12)","(371, 30)",314
"GP010016_fast.mp4_uca_n00(382, 12)","(371, 29)",315
"GP010016_fast.mp4_uca_n00(382, 12)","(371, 28)",316
"GP010016_fast.mp4_uca_n00(382, 12)","(369, 27)",317
"GP010016_fast.mp4_uca_n00(382, 12)","(368, 24)",318
"GP010016_fast.mp4_uca_n00(382, 12)","(368, 28)",319
"GP010016_fast.mp4_uca_n00(382, 12)","(371, 29)",320
"GP010016_fast.mp4_uca_n00(382, 12)","(372, 29)",321
"GP010016_fast.mp4_uca_n00(382, 12)","(372, 30)",322
"GP010016_fast.mp4_uca_n00(382, 12)","(372, 29)",323
"GP010016_fast.mp4_uca_n00(382, 12)","(369, 27)",324
"GP010016_fast.mp4_uca_n00(382, 12)","(369, 26)",325
"GP010016_fast.mp4_uca_n00(382, 12)","(369, 27)",326
"GP010016_fast.mp4_uca_n00(382, 12)","(369, 27)",327
"GP010016_fast.mp4_uca_n00(382, 12)","(369, 27)",328
"GP010016_fast.mp4_uca_n00(382, 12)","(368, 26)",329
"GP010016_fast.mp4_uca_n00(382, 12)","(369, 27)",330
"GP010016_fast.mp4_uca_n00(382, 12)","(369, 27)",331
"GP010016_fast.mp4_uca_n00(382, 12)","(369, 27)",332
"GP010016_fast.mp4_uca_n00(382, 12)","(369, 26)",333
"GP010016_fast.mp4_uca_n00(382, 12)","(369, 26)",334
"GP010016_fast.mp4_uca_n00(382, 12)","(369, 26)",335
"GP010016_fast.mp4_uca_n00(382, 12)","(373, 30)",336
"GP010016_fast.mp4_uca_n00(382, 12)","(369, 29)",337
"GP010016_fast.mp4_uca_n00(382, 12)","(373, 31)",338
"GP010016_fast.mp4_uca_n00(382, 12)","(372, 32)",339
"GP010016_fast.mp4_uca_n00(382, 12)","(369, 26)",340
"GP010016_fast.mp4_uca_n00(382, 12)","(369, 30)",341
"GP010016_fast.mp4_uca_n00(382, 12)","(373, 31)",342
