file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,1836,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x11a0fdf30>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca_lu01(369, 98)","(396, 164)",298
"GP010016_fast.mp4_uca_lu01(369, 98)","(394, 163)",299
"GP010016_fast.mp4_uca_lu01(369, 98)","(396, 165)",300
"GP010016_fast.mp4_uca_lu01(369, 98)","(396, 165)",301
"GP010016_fast.mp4_uca_lu01(369, 98)","(395, 164)",302
"GP010016_fast.mp4_uca_lu01(369, 98)","(395, 163)",303
"GP010016_fast.mp4_uca_lu01(369, 98)","(394, 164)",304
"GP010016_fast.mp4_uca_lu01(369, 98)","(394, 161)",305
"GP010016_fast.mp4_uca_lu01(369, 98)","(394, 163)",306
"GP010016_fast.mp4_uca_lu01(369, 98)","(395, 163)",307
"GP010016_fast.mp4_uca_lu01(369, 98)","(395, 163)",308
"GP010016_fast.mp4_uca_lu01(369, 98)","(396, 163)",309
"GP010016_fast.mp4_uca_lu01(369, 98)","(395, 161)",310
"GP010016_fast.mp4_uca_lu01(369, 98)","(398, 163)",311
"GP010016_fast.mp4_uca_lu01(369, 98)","(396, 165)",312
"GP010016_fast.mp4_uca_lu01(369, 98)","(398, 165)",313
"GP010016_fast.mp4_uca_lu01(369, 98)","(398, 165)",314
"GP010016_fast.mp4_uca_lu01(369, 98)","(399, 167)",315
"GP010016_fast.mp4_uca_lu01(369, 98)","(398, 165)",316
"GP010016_fast.mp4_uca_lu01(369, 98)","(396, 165)",317
"GP010016_fast.mp4_uca_lu01(369, 98)","(397, 169)",318
"GP010016_fast.mp4_uca_lu01(369, 98)","(395, 170)",319
"GP010016_fast.mp4_uca_lu01(369, 98)","(395, 170)",320
"GP010016_fast.mp4_uca_lu01(369, 98)","(419, 169)",321
"GP010016_fast.mp4_uca_lu01(369, 98)","(423, 166)",322
"GP010016_fast.mp4_uca_lu01(369, 98)","(413, 169)",323
"GP010016_fast.mp4_uca_lu01(369, 98)","(397, 158)",324
"GP010016_fast.mp4_uca_lu01(369, 98)","(396, 162)",325
"GP010016_fast.mp4_uca_lu01(369, 98)","(396, 161)",326
"GP010016_fast.mp4_uca_lu01(369, 98)","(396, 160)",327
"GP010016_fast.mp4_uca_lu01(369, 98)","(406, 158)",328
"GP010016_fast.mp4_uca_lu01(369, 98)","(397, 163)",329
"GP010016_fast.mp4_uca_lu01(369, 98)","(397, 159)",330
"GP010016_fast.mp4_uca_lu01(369, 98)","(398, 159)",331
"GP010016_fast.mp4_uca_lu01(369, 98)","(410, 158)",332
"GP010016_fast.mp4_uca_lu01(369, 98)","(400, 159)",333
"GP010016_fast.mp4_uca_lu01(369, 98)","(399, 155)",334
"GP010016_fast.mp4_uca_lu01(369, 98)","(400, 156)",335
"GP010016_fast.mp4_uca_lu01(369, 98)","(399, 158)",336
"GP010016_fast.mp4_uca_lu01(369, 98)","(401, 168)",337
"GP010016_fast.mp4_uca_lu01(369, 98)","(414, 157)",338
"GP010016_fast.mp4_uca_lu01(369, 98)","(415, 156)",339
"GP010016_fast.mp4_uca_lu01(369, 98)","(415, 158)",340
"GP010016_fast.mp4_uca_lu01(369, 98)","(418, 156)",341
"GP010016_fast.mp4_uca_lu01(369, 98)","(410, 152)",342
