file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,1824,1928.0,23.976023976023978,239,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x10f158f30>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca_lm01(446, 249)","(453, 352)",329
"GP010016_fast.mp4_uca_lm01(446, 249)","(453, 349)",330
"GP010016_fast.mp4_uca_lm01(446, 249)","(453, 348)",331
"GP010016_fast.mp4_uca_lm01(446, 249)","(451, 349)",332
"GP010016_fast.mp4_uca_lm01(446, 249)","(453, 345)",333
"GP010016_fast.mp4_uca_lm01(446, 249)","(452, 344)",334
"GP010016_fast.mp4_uca_lm01(446, 249)","(451, 346)",335
"GP010016_fast.mp4_uca_lm01(446, 249)","(453, 346)",336
"GP010016_fast.mp4_uca_lm01(446, 249)","(452, 344)",337
"GP010016_fast.mp4_uca_lm01(446, 249)","(451, 344)",338
"GP010016_fast.mp4_uca_lm01(446, 249)","(452, 343)",339
"GP010016_fast.mp4_uca_lm01(446, 249)","(451, 344)",340
"GP010016_fast.mp4_uca_lm01(446, 249)","(452, 342)",341
"GP010016_fast.mp4_uca_lm01(446, 249)","(452, 342)",342
"GP010016_fast.mp4_uca_lm01(446, 249)","(452, 342)",343
"GP010016_fast.mp4_uca_lm01(446, 249)","(452, 343)",344
"GP010016_fast.mp4_uca_lm01(446, 249)","(450, 343)",345
"GP010016_fast.mp4_uca_lm01(446, 249)","(451, 342)",346
"GP010016_fast.mp4_uca_lm01(446, 249)","(451, 342)",347
"GP010016_fast.mp4_uca_lm01(446, 249)","(451, 343)",348
"GP010016_fast.mp4_uca_lm01(446, 249)","(449, 341)",349
"GP010016_fast.mp4_uca_lm01(446, 249)","(449, 341)",350
"GP010016_fast.mp4_uca_lm01(446, 249)","(449, 342)",351
"GP010016_fast.mp4_uca_lm01(446, 249)","(451, 344)",352
"GP010016_fast.mp4_uca_lm01(446, 249)","(450, 342)",353
"GP010016_fast.mp4_uca_lm01(446, 249)","(451, 344)",354
"GP010016_fast.mp4_uca_lm01(446, 249)","(449, 342)",355
"GP010016_fast.mp4_uca_lm01(446, 249)","(450, 342)",356
"GP010016_fast.mp4_uca_lm01(446, 249)","(451, 341)",357
"GP010016_fast.mp4_uca_lm01(446, 249)","(450, 342)",358
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 341)",359
"GP010016_fast.mp4_uca_lm01(446, 249)","(449, 339)",360
"GP010016_fast.mp4_uca_lm01(446, 249)","(450, 342)",361
"GP010016_fast.mp4_uca_lm01(446, 249)","(450, 341)",362
"GP010016_fast.mp4_uca_lm01(446, 249)","(449, 339)",363
"GP010016_fast.mp4_uca_lm01(446, 249)","(450, 341)",364
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 341)",365
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 340)",366
"GP010016_fast.mp4_uca_lm01(446, 249)","(450, 341)",367
"GP010016_fast.mp4_uca_lm01(446, 249)","(450, 342)",368
"GP010016_fast.mp4_uca_lm01(446, 249)","(449, 342)",369
"GP010016_fast.mp4_uca_lm01(446, 249)","(450, 342)",370
"GP010016_fast.mp4_uca_lm01(446, 249)","(450, 342)",371
"GP010016_fast.mp4_uca_lm01(446, 249)","(450, 342)",372
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 344)",373
"GP010016_fast.mp4_uca_lm01(446, 249)","(449, 343)",374
"GP010016_fast.mp4_uca_lm01(446, 249)","(450, 342)",375
"GP010016_fast.mp4_uca_lm01(446, 249)","(450, 343)",376
