file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,1811,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x10f93bf30>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca_nc00(225, 133)","(195, 104)",205
"GP010016_fast.mp4_uca_nc00(225, 133)","(193, 106)",206
"GP010016_fast.mp4_uca_nc00(225, 133)","(195, 103)",207
"GP010016_fast.mp4_uca_nc00(225, 133)","(195, 103)",208
"GP010016_fast.mp4_uca_nc00(225, 133)","(195, 103)",209
"GP010016_fast.mp4_uca_nc00(225, 133)","(193, 106)",210
"GP010016_fast.mp4_uca_nc00(225, 133)","(195, 103)",211
"GP010016_fast.mp4_uca_nc00(225, 133)","(193, 106)",212
"GP010016_fast.mp4_uca_nc00(225, 133)","(193, 106)",213
"GP010016_fast.mp4_uca_nc00(225, 133)","(193, 106)",214
"GP010016_fast.mp4_uca_nc00(225, 133)","(196, 104)",215
"GP010016_fast.mp4_uca_nc00(225, 133)","(194, 104)",216
"GP010016_fast.mp4_uca_nc00(225, 133)","(194, 104)",217
"GP010016_fast.mp4_uca_nc00(225, 133)","(197, 102)",218
"GP010016_fast.mp4_uca_nc00(225, 133)","(193, 106)",219
"GP010016_fast.mp4_uca_nc00(225, 133)","(194, 103)",220
"GP010016_fast.mp4_uca_nc00(225, 133)","(194, 103)",221
"GP010016_fast.mp4_uca_nc00(225, 133)","(193, 106)",222
"GP010016_fast.mp4_uca_nc00(225, 133)","(194, 103)",223
"GP010016_fast.mp4_uca_nc00(225, 133)","(196, 103)",224
"GP010016_fast.mp4_uca_nc00(225, 133)","(195, 103)",225
"GP010016_fast.mp4_uca_nc00(225, 133)","(195, 103)",226
"GP010016_fast.mp4_uca_nc00(225, 133)","(196, 103)",227
"GP010016_fast.mp4_uca_nc00(225, 133)","(196, 102)",228
"GP010016_fast.mp4_uca_nc00(225, 133)","(194, 102)",229
"GP010016_fast.mp4_uca_nc00(225, 133)","(194, 102)",230
"GP010016_fast.mp4_uca_nc00(225, 133)","(193, 102)",231
"GP010016_fast.mp4_uca_nc00(225, 133)","(193, 102)",232
"GP010016_fast.mp4_uca_nc00(225, 133)","(197, 103)",233
"GP010016_fast.mp4_uca_nc00(225, 133)","(194, 103)",234
"GP010016_fast.mp4_uca_nc00(225, 133)","(195, 102)",235
"GP010016_fast.mp4_uca_nc00(225, 133)","(196, 101)",236
"GP010016_fast.mp4_uca_nc00(225, 133)","(199, 101)",237
"GP010016_fast.mp4_uca_nc00(225, 133)","(197, 100)",238
"GP010016_fast.mp4_uca_nc00(225, 133)","(203, 101)",239
"GP010016_fast.mp4_uca_nc00(225, 133)","(201, 101)",240
"GP010016_fast.mp4_uca_nc00(225, 133)","(203, 100)",241
"GP010016_fast.mp4_uca_nc00(225, 133)","(206, 99)",242
"GP010016_fast.mp4_uca_nc00(225, 133)","(204, 98)",243
"GP010016_fast.mp4_uca_nc00(225, 133)","(206, 98)",244
"GP010016_fast.mp4_uca_nc00(225, 133)","(208, 97)",245
"GP010016_fast.mp4_uca_nc00(225, 133)","(212, 96)",246
"GP010016_fast.mp4_uca_nc00(225, 133)","(208, 97)",247
"GP010016_fast.mp4_uca_nc00(225, 133)","(208, 96)",248
"GP010016_fast.mp4_uca_nc00(225, 133)","(208, 97)",249
"GP010016_fast.mp4_uca_nc00(225, 133)","(210, 96)",250
"GP010016_fast.mp4_uca_nc00(225, 133)","(215, 95)",251
"GP010016_fast.mp4_uca_nc00(225, 133)","(213, 96)",252
"GP010016_fast.mp4_uca_nc00(225, 133)","(215, 95)",253
"GP010016_fast.mp4_uca_nc00(225, 133)","(216, 95)",254
"GP010016_fast.mp4_uca_nc00(225, 133)","(213, 96)",255
"GP010016_fast.mp4_uca_nc00(225, 133)","(214, 96)",256
"GP010016_fast.mp4_uca_nc00(225, 133)","(215, 95)",257
"GP010016_fast.mp4_uca_nc00(225, 133)","(215, 96)",258
"GP010016_fast.mp4_uca_nc00(225, 133)","(215, 95)",259
"GP010016_fast.mp4_uca_nc00(225, 133)","(212, 97)",260
"GP010016_fast.mp4_uca_nc00(225, 133)","(216, 96)",261
"GP010016_fast.mp4_uca_nc00(225, 133)","(217, 95)",262
"GP010016_fast.mp4_uca_nc00(225, 133)","(215, 95)",263
"GP010016_fast.mp4_uca_nc00(225, 133)","(220, 94)",264
"GP010016_fast.mp4_uca_nc00(225, 133)","(220, 94)",265
"GP010016_fast.mp4_uca_nc00(225, 133)","(215, 95)",266
"GP010016_fast.mp4_uca_nc00(225, 133)","(215, 95)",267
"GP010016_fast.mp4_uca_nc00(225, 133)","(216, 96)",268
"GP010016_fast.mp4_uca_nc00(225, 133)","(215, 96)",269
"GP010016_fast.mp4_uca_nc00(225, 133)","(217, 95)",270
"GP010016_fast.mp4_uca_nc00(225, 133)","(217, 95)",271
"GP010016_fast.mp4_uca_nc00(225, 133)","(219, 95)",272
"GP010016_fast.mp4_uca_nc00(225, 133)","(218, 95)",273
"GP010016_fast.mp4_uca_nc00(225, 133)","(217, 95)",274
"GP010016_fast.mp4_uca_nc00(225, 133)","(218, 95)",275
"GP010016_fast.mp4_uca_nc00(225, 133)","(216, 95)",276
"GP010016_fast.mp4_uca_nc00(225, 133)","(216, 95)",277
"GP010016_fast.mp4_uca_nc00(225, 133)","(216, 95)",278
"GP010016_fast.mp4_uca_nc00(225, 133)","(217, 95)",279
"GP010016_fast.mp4_uca_nc00(225, 133)","(217, 95)",280
"GP010016_fast.mp4_uca_nc00(225, 133)","(216, 94)",281
"GP010016_fast.mp4_uca_nc00(225, 133)","(216, 95)",282
"GP010016_fast.mp4_uca_nc00(225, 133)","(217, 95)",283
"GP010016_fast.mp4_uca_nc00(225, 133)","(217, 95)",284
"GP010016_fast.mp4_uca_nc00(225, 133)","(218, 95)",285
"GP010016_fast.mp4_uca_nc00(225, 133)","(217, 95)",286
"GP010016_fast.mp4_uca_nc00(225, 133)","(217, 95)",287
"GP010016_fast.mp4_uca_nc00(225, 133)","(217, 95)",288
"GP010016_fast.mp4_uca_nc00(225, 133)","(217, 95)",289
"GP010016_fast.mp4_uca_nc00(225, 133)","(218, 95)",290
"GP010016_fast.mp4_uca_nc00(225, 133)","(219, 95)",291
"GP010016_fast.mp4_uca_nc00(225, 133)","(219, 95)",292
"GP010016_fast.mp4_uca_nc00(225, 133)","(217, 92)",293
"GP010016_fast.mp4_uca_nc00(225, 133)","(219, 94)",294
"GP010016_fast.mp4_uca_nc00(225, 133)","(219, 94)",295
"GP010016_fast.mp4_uca_nc00(225, 133)","(221, 93)",296
"GP010016_fast.mp4_uca_nc00(225, 133)","(220, 94)",297
"GP010016_fast.mp4_uca_nc00(225, 133)","(221, 94)",298
"GP010016_fast.mp4_uca_nc00(225, 133)","(221, 92)",299
"GP010016_fast.mp4_uca_nc00(225, 133)","(222, 93)",300
"GP010016_fast.mp4_uca_nc00(225, 133)","(221, 92)",301
"GP010016_fast.mp4_uca_nc00(225, 133)","(223, 91)",302
"GP010016_fast.mp4_uca_nc00(225, 133)","(221, 92)",303
"GP010016_fast.mp4_uca_nc00(225, 133)","(221, 92)",304
"GP010016_fast.mp4_uca_nc00(225, 133)","(220, 91)",305
"GP010016_fast.mp4_uca_nc00(225, 133)","(223, 91)",306
"GP010016_fast.mp4_uca_nc00(225, 133)","(220, 93)",307
"GP010016_fast.mp4_uca_nc00(225, 133)","(221, 92)",308
"GP010016_fast.mp4_uca_nc00(225, 133)","(220, 91)",309
"GP010016_fast.mp4_uca_nc00(225, 133)","(225, 92)",310
"GP010016_fast.mp4_uca_nc00(225, 133)","(221, 93)",311
"GP010016_fast.mp4_uca_nc00(225, 133)","(224, 93)",312
"GP010016_fast.mp4_uca_nc00(225, 133)","(220, 91)",313
"GP010016_fast.mp4_uca_nc00(225, 133)","(223, 90)",314
"GP010016_fast.mp4_uca_nc00(225, 133)","(223, 92)",315
