file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,1806,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x110d6af30>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 34)",194
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 34)",195
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 34)",196
"GP010016_fast.mp4_uca_nw01(52, 85)","(70, 34)",197
"GP010016_fast.mp4_uca_nw01(52, 85)","(70, 34)",198
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 34)",199
"GP010016_fast.mp4_uca_nw01(52, 85)","(70, 33)",200
"GP010016_fast.mp4_uca_nw01(52, 85)","(70, 34)",201
"GP010016_fast.mp4_uca_nw01(52, 85)","(70, 34)",202
"GP010016_fast.mp4_uca_nw01(52, 85)","(70, 34)",203
"GP010016_fast.mp4_uca_nw01(52, 85)","(70, 34)",204
"GP010016_fast.mp4_uca_nw01(52, 85)","(70, 34)",205
"GP010016_fast.mp4_uca_nw01(52, 85)","(70, 34)",206
"GP010016_fast.mp4_uca_nw01(52, 85)","(70, 34)",207
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 34)",208
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 34)",209
"GP010016_fast.mp4_uca_nw01(52, 85)","(70, 34)",210
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 34)",211
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 34)",212
"GP010016_fast.mp4_uca_nw01(52, 85)","(70, 34)",213
"GP010016_fast.mp4_uca_nw01(52, 85)","(70, 34)",214
"GP010016_fast.mp4_uca_nw01(52, 85)","(70, 34)",215
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 34)",216
"GP010016_fast.mp4_uca_nw01(52, 85)","(70, 34)",217
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 32)",218
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 34)",219
"GP010016_fast.mp4_uca_nw01(52, 85)","(70, 34)",220
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 34)",221
"GP010016_fast.mp4_uca_nw01(52, 85)","(70, 34)",222
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 34)",223
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 33)",224
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 34)",225
"GP010016_fast.mp4_uca_nw01(52, 85)","(70, 34)",226
"GP010016_fast.mp4_uca_nw01(52, 85)","(70, 34)",227
"GP010016_fast.mp4_uca_nw01(52, 85)","(70, 34)",228
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 32)",229
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 34)",230
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 33)",231
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 33)",232
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 32)",233
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 33)",234
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 32)",235
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 32)",236
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 30)",237
"GP010016_fast.mp4_uca_nw01(52, 85)","(70, 32)",238
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 30)",239
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 28)",240
"GP010016_fast.mp4_uca_nw01(52, 85)","(73, 31)",241
"GP010016_fast.mp4_uca_nw01(52, 85)","(73, 28)",242
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 28)",243
"GP010016_fast.mp4_uca_nw01(52, 85)","(75, 28)",244
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 28)",245
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 28)",246
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 27)",247
"GP010016_fast.mp4_uca_nw01(52, 85)","(73, 27)",248
"GP010016_fast.mp4_uca_nw01(52, 85)","(73, 27)",249
"GP010016_fast.mp4_uca_nw01(52, 85)","(76, 26)",250
"GP010016_fast.mp4_uca_nw01(52, 85)","(73, 27)",251
"GP010016_fast.mp4_uca_nw01(52, 85)","(74, 27)",252
"GP010016_fast.mp4_uca_nw01(52, 85)","(77, 26)",253
"GP010016_fast.mp4_uca_nw01(52, 85)","(77, 26)",254
"GP010016_fast.mp4_uca_nw01(52, 85)","(78, 23)",255
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 27)",256
"GP010016_fast.mp4_uca_nw01(52, 85)","(77, 26)",257
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 27)",258
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 27)",259
"GP010016_fast.mp4_uca_nw01(52, 85)","(77, 26)",260
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 27)",261
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 25)",262
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 27)",263
"GP010016_fast.mp4_uca_nw01(52, 85)","(69, 27)",264
"GP010016_fast.mp4_uca_nw01(52, 85)","(76, 28)",265
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 26)",266
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 26)",267
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 26)",268
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 26)",269
"GP010016_fast.mp4_uca_nw01(52, 85)","(77, 25)",270
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 26)",271
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 26)",272
"GP010016_fast.mp4_uca_nw01(52, 85)","(77, 25)",273
"GP010016_fast.mp4_uca_nw01(52, 85)","(76, 25)",274
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 26)",275
"GP010016_fast.mp4_uca_nw01(52, 85)","(76, 25)",276
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 25)",277
"GP010016_fast.mp4_uca_nw01(52, 85)","(69, 27)",278
"GP010016_fast.mp4_uca_nw01(52, 85)","(77, 25)",279
"GP010016_fast.mp4_uca_nw01(52, 85)","(77, 25)",280
"GP010016_fast.mp4_uca_nw01(52, 85)","(95, 25)",281
"GP010016_fast.mp4_uca_nw01(52, 85)","(77, 28)",282
"GP010016_fast.mp4_uca_nw01(52, 85)","(73, 27)",283
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 26)",284
"GP010016_fast.mp4_uca_nw01(52, 85)","(76, 25)",285
"GP010016_fast.mp4_uca_nw01(52, 85)","(95, 25)",286
"GP010016_fast.mp4_uca_nw01(52, 85)","(77, 28)",287
"GP010016_fast.mp4_uca_nw01(52, 85)","(75, 21)",288
"GP010016_fast.mp4_uca_nw01(52, 85)","(77, 28)",289
"GP010016_fast.mp4_uca_nw01(52, 85)","(77, 25)",290
"GP010016_fast.mp4_uca_nw01(52, 85)","(95, 26)",291
