file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,1820,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x11542cf30>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca_cc01(291, 205)","(269, 221)",206
"GP010016_fast.mp4_uca_cc01(291, 205)","(269, 221)",207
"GP010016_fast.mp4_uca_cc01(291, 205)","(269, 222)",208
"GP010016_fast.mp4_uca_cc01(291, 205)","(269, 222)",209
"GP010016_fast.mp4_uca_cc01(291, 205)","(269, 221)",210
"GP010016_fast.mp4_uca_cc01(291, 205)","(269, 220)",211
"GP010016_fast.mp4_uca_cc01(291, 205)","(270, 218)",212
"GP010016_fast.mp4_uca_cc01(291, 205)","(269, 220)",213
"GP010016_fast.mp4_uca_cc01(291, 205)","(268, 221)",214
"GP010016_fast.mp4_uca_cc01(291, 205)","(269, 220)",215
"GP010016_fast.mp4_uca_cc01(291, 205)","(268, 221)",216
"GP010016_fast.mp4_uca_cc01(291, 205)","(268, 220)",217
"GP010016_fast.mp4_uca_cc01(291, 205)","(268, 221)",218
"GP010016_fast.mp4_uca_cc01(291, 205)","(269, 221)",219
"GP010016_fast.mp4_uca_cc01(291, 205)","(268, 221)",220
"GP010016_fast.mp4_uca_cc01(291, 205)","(269, 219)",221
"GP010016_fast.mp4_uca_cc01(291, 205)","(268, 221)",222
"GP010016_fast.mp4_uca_cc01(291, 205)","(268, 220)",223
"GP010016_fast.mp4_uca_cc01(291, 205)","(268, 220)",224
"GP010016_fast.mp4_uca_cc01(291, 205)","(268, 221)",225
"GP010016_fast.mp4_uca_cc01(291, 205)","(268, 220)",226
"GP010016_fast.mp4_uca_cc01(291, 205)","(268, 220)",227
"GP010016_fast.mp4_uca_cc01(291, 205)","(268, 220)",228
"GP010016_fast.mp4_uca_cc01(291, 205)","(269, 221)",229
"GP010016_fast.mp4_uca_cc01(291, 205)","(268, 220)",230
