file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,2356,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x110f5ff30>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca_ccl01(232, 391)","(263, 348)",262
"GP010016_fast.mp4_uca_ccl01(232, 391)","(260, 353)",263
"GP010016_fast.mp4_uca_ccl01(232, 391)","(260, 349)",264
"GP010016_fast.mp4_uca_ccl01(232, 391)","(258, 352)",265
"GP010016_fast.mp4_uca_ccl01(232, 391)","(258, 351)",266
"GP010016_fast.mp4_uca_ccl01(232, 391)","(258, 350)",267
"GP010016_fast.mp4_uca_ccl01(232, 391)","(260, 353)",268
"GP010016_fast.mp4_uca_ccl01(232, 391)","(257, 352)",269
"GP010016_fast.mp4_uca_ccl01(232, 391)","(257, 351)",270
"GP010016_fast.mp4_uca_ccl01(232, 391)","(257, 351)",271
"GP010016_fast.mp4_uca_ccl01(232, 391)","(258, 359)",272
"GP010016_fast.mp4_uca_ccl01(232, 391)","(256, 352)",273
"GP010016_fast.mp4_uca_ccl01(232, 391)","(242, 345)",274
"GP010016_fast.mp4_uca_ccl01(232, 391)","(242, 345)",275
"GP010016_fast.mp4_uca_ccl01(232, 391)","(258, 354)",276
"GP010016_fast.mp4_uca_ccl01(232, 391)","(257, 356)",277
"GP010016_fast.mp4_uca_ccl01(232, 391)","(255, 357)",278
"GP010016_fast.mp4_uca_ccl01(232, 391)","(240, 348)",279
"GP010016_fast.mp4_uca_ccl01(232, 391)","(241, 345)",280
"GP010016_fast.mp4_uca_ccl01(232, 391)","(239, 348)",281
"GP010016_fast.mp4_uca_ccl01(232, 391)","(255, 349)",282
"GP010016_fast.mp4_uca_ccl01(232, 391)","(254, 352)",283
"GP010016_fast.mp4_uca_ccl01(232, 391)","(235, 351)",284
"GP010016_fast.mp4_uca_ccl01(232, 391)","(236, 350)",285
"GP010016_fast.mp4_uca_ccl01(232, 391)","(237, 350)",286
"GP010016_fast.mp4_uca_ccl01(232, 391)","(238, 352)",287
"GP010016_fast.mp4_uca_ccl01(232, 391)","(253, 357)",288
"GP010016_fast.mp4_uca_ccl01(232, 391)","(240, 349)",289
"GP010016_fast.mp4_uca_ccl01(232, 391)","(239, 347)",290
"GP010016_fast.mp4_uca_ccl01(232, 391)","(253, 357)",291
"GP010016_fast.mp4_uca_ccl01(232, 391)","(247, 359)",292
"GP010016_fast.mp4_uca_ccl01(232, 391)","(250, 360)",293
"GP010016_fast.mp4_uca_ccl01(232, 391)","(248, 360)",294
"GP010016_fast.mp4_uca_ccl01(232, 391)","(248, 360)",295
"GP010016_fast.mp4_uca_ccl01(232, 391)","(248, 363)",296
"GP010016_fast.mp4_uca_ccl01(232, 391)","(250, 359)",297
"GP010016_fast.mp4_uca_ccl01(232, 391)","(243, 352)",298
"GP010016_fast.mp4_uca_ccl01(232, 391)","(253, 359)",299
"GP010016_fast.mp4_uca_ccl01(232, 391)","(242, 354)",300
"GP010016_fast.mp4_uca_ccl01(232, 391)","(238, 352)",301
"GP010016_fast.mp4_uca_ccl01(232, 391)","(250, 360)",302
"GP010016_fast.mp4_uca_ccl01(232, 391)","(248, 360)",303
"GP010016_fast.mp4_uca_ccl01(232, 391)","(253, 360)",304
"GP010016_fast.mp4_uca_ccl01(232, 391)","(248, 360)",305
"GP010016_fast.mp4_uca_ccl01(232, 391)","(240, 350)",306
"GP010016_fast.mp4_uca_ccl01(232, 391)","(253, 359)",307
"GP010016_fast.mp4_uca_ccl01(232, 391)","(249, 360)",308
"GP010016_fast.mp4_uca_ccl01(232, 391)","(253, 358)",309
"GP010016_fast.mp4_uca_ccl01(232, 391)","(250, 358)",310
"GP010016_fast.mp4_uca_ccl01(232, 391)","(231, 356)",311
"GP010016_fast.mp4_uca_ccl01(232, 391)","(239, 350)",312
"GP010016_fast.mp4_uca_ccl01(232, 391)","(238, 350)",313
"GP010016_fast.mp4_uca_ccl01(232, 391)","(237, 352)",314
"GP010016_fast.mp4_uca_ccl01(232, 391)","(234, 356)",315
"GP010016_fast.mp4_uca_ccl01(232, 391)","(234, 356)",316
"GP010016_fast.mp4_uca_ccl01(232, 391)","(238, 350)",317
"GP010016_fast.mp4_uca_ccl01(232, 391)","(235, 355)",318
"GP010016_fast.mp4_uca_ccl01(232, 391)","(232, 359)",319
"GP010016_fast.mp4_uca_ccl01(232, 391)","(233, 356)",320
"GP010016_fast.mp4_uca_ccl01(232, 391)","(232, 356)",321
"GP010016_fast.mp4_uca_ccl01(232, 391)","(236, 353)",322
"GP010016_fast.mp4_uca_ccl01(232, 391)","(241, 352)",323
"GP010016_fast.mp4_uca_ccl01(232, 391)","(235, 356)",324
"GP010016_fast.mp4_uca_ccl01(232, 391)","(238, 352)",325
"GP010016_fast.mp4_uca_ccl01(232, 391)","(235, 356)",326
"GP010016_fast.mp4_uca_ccl01(232, 391)","(235, 357)",327
"GP010016_fast.mp4_uca_ccl01(232, 391)","(235, 356)",328
"GP010016_fast.mp4_uca_ccl01(232, 391)","(234, 354)",329
"GP010016_fast.mp4_uca_ccl01(232, 391)","(236, 353)",330
"GP010016_fast.mp4_uca_ccl01(232, 391)","(238, 350)",331
"GP010016_fast.mp4_uca_ccl01(232, 391)","(236, 353)",332
"GP010016_fast.mp4_uca_ccl01(232, 391)","(242, 349)",333
"GP010016_fast.mp4_uca_ccl01(232, 391)","(236, 355)",334
"GP010016_fast.mp4_uca_ccl01(232, 391)","(236, 355)",335
"GP010016_fast.mp4_uca_ccl01(232, 391)","(234, 355)",336
"GP010016_fast.mp4_uca_ccl01(232, 391)","(234, 353)",337
"GP010016_fast.mp4_uca_ccl01(232, 391)","(234, 354)",338
"GP010016_fast.mp4_uca_ccl01(232, 391)","(236, 354)",339
"GP010016_fast.mp4_uca_ccl01(232, 391)","(238, 349)",340
"GP010016_fast.mp4_uca_ccl01(232, 391)","(233, 354)",341
"GP010016_fast.mp4_uca_ccl01(232, 391)","(236, 354)",342
"GP010016_fast.mp4_uca_ccl01(232, 391)","(235, 356)",343
"GP010016_fast.mp4_uca_ccl01(232, 391)","(234, 354)",344
"GP010016_fast.mp4_uca_ccl01(232, 391)","(234, 355)",345
"GP010016_fast.mp4_uca_ccl01(232, 391)","(233, 356)",346
"GP010016_fast.mp4_uca_ccl01(232, 391)","(234, 356)",347
"GP010016_fast.mp4_uca_ccl01(232, 391)","(234, 354)",348
"GP010016_fast.mp4_uca_ccl01(232, 391)","(233, 356)",349
"GP010016_fast.mp4_uca_ccl01(232, 391)","(233, 355)",350
"GP010016_fast.mp4_uca_ccl01(232, 391)","(234, 355)",351
"GP010016_fast.mp4_uca_ccl01(232, 391)","(234, 356)",352
"GP010016_fast.mp4_uca_ccl01(232, 391)","(235, 357)",353
"GP010016_fast.mp4_uca_ccl01(232, 391)","(234, 356)",354
"GP010016_fast.mp4_uca_ccl01(232, 391)","(232, 358)",355
"GP010016_fast.mp4_uca_ccl01(232, 391)","(234, 356)",356
"GP010016_fast.mp4_uca_ccl01(232, 391)","(233, 356)",357
"GP010016_fast.mp4_uca_ccl01(232, 391)","(232, 358)",358
"GP010016_fast.mp4_uca_ccl01(232, 391)","(235, 357)",359
"GP010016_fast.mp4_uca_ccl01(232, 391)","(233, 356)",360
"GP010016_fast.mp4_uca_ccl01(232, 391)","(232, 356)",361
"GP010016_fast.mp4_uca_ccl01(232, 391)","(232, 356)",362
"GP010016_fast.mp4_uca_ccl01(232, 391)","(232, 352)",363
"GP010016_fast.mp4_uca_ccl01(232, 391)","(232, 355)",364
"GP010016_fast.mp4_uca_ccl01(232, 391)","(231, 357)",365
